Date,0,1,2,3,,ls,amount,exp,NET,eod,pnl,commision,acc,strat,,,,6.64
2015+AC0-09+AC0-30,0.331204344803439,0.035668205052408,0.099625658048408,0.533501808114493,,1,2500,9650.6879259206,0.819,10291.6930280113,641.005102090667,+AC0-1,+ACI-+ACQ-12,430.69+ACI-,5.44+ACU-,6.64+ACU-,,,5.78
2015+AC0-10+AC0-01,0.329335967292339,0.175937795131066,0.105451663145823,0.389274579273649,,,,10291.6930280113,0.828,9615.07653136001,+AC0-676.616496651261,0,+ACI-+ACQ-11,754.08+ACI-,+AC0-5.44+ACU-,+AC0-6.57+ACU-,,,5.4
2015+AC0-10+AC0-02,0.100321799417771,0.088478595816687,0.240436150481366,0.570763462852344,,,,9615.07653136001,0.818,11897.766922694,2282.69039133398,0,+ACI-+ACQ-14,036.77+ACI-,19.42+ACU-,23.74+ACU-,,,6.682
2015+AC0-10+AC0-05,0.180586421491806,0.029469889366082,0.224092848224795,0.565850841569242,,,,11897.766922694,0.848,13443.3014466237,1545.53452392972,0,+ACI-+ACQ-15,582.30+ACI-,11.01+ACU-,12.99+ACU-,,,7.55
2015+AC0-10+AC0-06,0.389748608375583,0.046765912186377,0.066600395183368,0.496885085837921,,,,13443.3014466237,0.863,14938.9800181686,1495.67857154489,0,+ACI-+ACQ-17,077.98+ACI-,9.60+ACU-,11.13+ACU-,,,8.39
2015+AC0-10+AC0-07,0.174346131426314,0.042533176828086,0.096296904551775,0.686823799487283,,+AC0-1,6000,8938.9800181686,0.523,8840.96021344017,+AC0-98.0198047284284,+AC0-1,+ACI-+ACQ-16,978.96+ACI-,+AC0-0.57+ACU-,+AC0-1.10+ACU-,,,8.298
2015+AC0-10+AC0-08,0.139758615594985,0.218479276538234,0.108221673271411,0.53354042965936,,,,8840.96021344017,0.521,8497.89089689067,+AC0-343.069316549498,0,+ACI-+ACQ-16,635.89+ACI-,+AC0-2.02+ACU-,+AC0-3.88+ACU-,,,7.976
2015+AC0-10+AC0-09,0.123160038032017,0.198403832333723,0.336357125324523,0.342079011015259,,1,2400,10897.8908968907,0.655,12649.5328389436,1751.64194205289,+AC0-1,+ACI-+ACQ-18,386.53+ACI-,10.53+ACU-,16.07+ACU-,,,9.258
2015+AC0-10+AC0-12,0.218067424524266,0.079168023874373,0.474492900621893,0.228271654891022,,,,12649.5328389436,0.688,11572.8605687894,+AC0-1076.67227015419,0,+ACI-+ACQ-17,309.86+ACI-,+AC0-5.86+ACU-,+AC0-8.51+ACU-,,,8.47
2015+AC0-10+AC0-13,0.393698923601488,0.093964164835169,0.267866652139539,0.244470267060649,,,,11572.8605687894,0.669,11766.880191076,194.019622286669,0,+ACI-+ACQ-17,503.88+ACI-,1.12+ACU-,1.68+ACU-,,,8.612
2015+AC0-10+AC0-14,0.120318867034761,0.325650135108762,0.107744655498403,0.446286349994918,,+AC0-1,6000,5766.88019107604,0.329,6855.70359919142,1088.82340811538,+AC0-1,+ACI-+ACQ-18,591.70+ACI-,6.22+ACU-,18.88+ACU-,,,10.238
2015+AC0-10+AC0-15,0.208109328639244,0.15197369432937,0.200147716210719,0.439769259144287,,,,6855.70359919142,0.369,6867.75699485321,12.0533956617946,0,+ACI-+ACQ-18,603.76+ACI-,0.06+ACU-,0.18+ACU-,,,10.256
2015+AC0-10+AC0-16,0.251732761939085,0.135358050121062,0.188710397508416,0.42419879341167,,,,6867.75699485321,0.369,6259.73014702495,+AC0-608.026847828268,0,+ACI-+ACQ-17,995.73+ACI-,+AC0-3.27+ACU-,+AC0-8.85+ACU-,,,9.348
2015+AC0-10+AC0-19,0.109951790405652,0.305618799869822,0.313752282010198,0.270677140007786,,,,6259.73014702495,0.348,5499.02695414729,+AC0-760.703192877658,0,+ACI-+ACQ-17,235.03+ACI-,+AC0-4.23+ACU-,+AC0-12.15+ACU-,,,8.212
