Date,Close,DayRange,Low,Open,ema_15
1994-01-03,46.4687,0.004034974079326514,46.4687,46.6562,
1994-01-04,46.6562,0.0,46.6562,46.6562,
1994-01-05,46.75,0.0006673796791443495,46.75,46.7812,
1994-01-06,46.75,0.0020042780748662746,46.75,46.8437,
1994-01-07,47.0312,0.0006655156576910999,47.0312,47.0625,
1994-01-10,47.5937,0.0,47.5937,47.5937,
1994-01-11,47.5,0.0013157894736842105,47.5,47.5625,
1994-01-12,47.3437,0.003960400222204855,47.3437,47.5312,
1994-01-13,47.2187,0.0019865011107887695,47.2187,47.3125,
1994-01-14,47.4062,0.001978644143593067,47.4062,47.5,47.07184
1994-01-17,47.4062,0.0013183929528205172,47.4062,47.4687,47.13263272727273
1994-01-18,47.4687,0.001316657081403114,47.4687,47.5312,47.193735867768595
1994-01-19,47.3437,0.0026402668148032367,47.3437,47.4687,47.22100207362885
1994-01-20,47.4687,0.0006593818663667145,47.4687,47.5,47.26603806024179
1994-01-21,47.375,0.0032970976253297803,47.375,47.5312,47.28584932201601
1994-01-24,47.1875,0.007947019867549669,47.1875,47.5625,47.267967627104014
1994-01-25,47.1875,0.0013245033112582781,47.1875,47.25,47.25333714944874
1994-01-26,47.3125,0.0006594451783354999,47.3125,47.3437,47.26409403136715
1994-01-27,47.75,0.0013089005235602095,47.75,47.8125,47.35244057111858
1994-01-28,47.875,0.0032626631853785552,47.875,48.0312,47.44745137636975
1994-01-31,48.2187,0.0019453033781500055,48.2187,48.3125,47.58767839884798
1994-02-01,47.9687,0.003908798862591648,47.9687,48.1562,47.65695505360289
1994-02-02,48.2812,0.0,48.2812,48.2812,47.770454134766005
1994-02-03,48.0625,0.002600780234070221,48.0625,48.1875,47.82355338299037
1994-02-04,46.9687,0.024618522547994764,46.9687,48.125,47.66812549517394
1994-02-07,47.1875,0.0026490066225165563,47.1875,47.3125,47.58073904150595
1994-02-08,47.2187,0.0013236281388517685,47.2187,47.2812,47.514913761232144
1994-02-09,47.4062,0.00066025119077255,47.4062,47.4375,47.4951476228263
1994-02-10,47.0,0.008642553191489327,47.0,47.4062,47.40512078231243
1994-02-11,47.1562,0.002650764904720906,47.1562,47.2812,47.35986245825563
1994-02-14,47.2187,0.003310129249640538,47.2187,47.375,47.334196556754605
1994-02-15,47.4687,0.0006593818663667145,47.4687,47.5,47.35865172825377
1994-02-16,47.4375,0.0019752305665348795,47.4375,47.5312,47.372987777662175
1994-02-17,47.1562,0.011266811151025775,47.1562,47.6875,47.333571818087236
1994-02-18,46.875,0.007332266666666631,46.875,47.2187,47.250195123889554
1994-02-22,47.3437,0.0,47.3437,47.3437,47.26719601045509
1994-02-23,47.2187,0.0046337573884923065,47.2187,47.4375,47.25837855400871
1994-02-24,46.5937,0.010061446075327817,46.5937,47.0625,47.13752790782531
1994-02-25,46.8125,0.0,46.8125,46.8125,47.07843192458434
1994-02-28,46.8125,0.0053404539385847796,46.8125,47.0625,47.03008066556901
1994-03-01,46.625,0.00603109919571042,46.625,46.9062,46.956429635465554
1994-03-02,46.6875,0.0,46.6875,46.6875,46.90753333810818
1994-03-03,46.5625,0.0013422818791946308,46.5625,46.625,46.84480000390669
